"","Species","LMA","leaf_area","seed_mass","plant_height","restr_meanCVp","mean_CVp","SLA","P50","LeafN","height","wood_density","wood_genus","Genus","wood_density_imp","Height"
"89","Quercus stellata",142.0454545,4442.09,1194.079,18.27966988,NA,1.0046931934381,20.20579951,-1.37,16.73,20.28,0.6605,0.701260875816993,"Quercus",0.6605,20.28
"90","Quercus suber",147.1571857,703.3,1785.9821,18.61209718,NA,1.0537913764768,8.596719847,-5.11,16.51,18.55,0.77,0.701260875816993,"Quercus",0.77,18.55
"91","Quercus velutina",70.21097802,14822.2,1851.4861,27.2937075,NA,1.11501313855332,17.01018104,-1.78,19.62,20.59,0.56,0.701260875816993,"Quercus",0.56,20.59
"92","Rhamnus alpina",51.26184053,1046.7,21.64939375,3.241199068,NA,NA,13.88563834,-4.92,22.04,11.4,NA,0.5592832,"Rhamnus",0.5592832,11.4
"93","Robinia pseudoacacia",51.34381935,753.26,17.8953,17.43678921,NA,NA,22.22595902,-1.66,36.73,23.98,0.6746366,0.663863833333333,"Robinia",0.6746366,23.98
"94","Salix alaxensis",99.00990099,680.445957446809,0.171563793103448,1.675949753,NA,NA,11.86571114,-2.46,18.76,10.52,NA,0.403791458333333,"Salix",0.403791458333333,10.52
"95","Shepherdia canadensis",NA,NA,8.1352,1.82,NA,NA,13.27462313,-1.97,28.97,7.42,NA,NA,"Shepherdia",NA,7.42
"96","Sorbus aucuparia",69.49790959,616.09,3.4691,13.47529198,NA,0.898056530039575,17.4497951,-4.85,20.47,13.58,0.62853,0.611323333333333,"Sorbus",0.62853,13.58
"97","Strychnos spinosa",74.92412633,2167.71,459.6151,10.1134531671481,NA,NA,16.78828601,-2.82,19.33,17.18,0.64575,0.695862842105263,"Strychnos",0.64575,17.18
"98","Tetragastris panamensis",102.5979125,2093.87,290.6516,33.11165288,NA,NA,NA,NA,NA,NA,0.717302179444444,0.71026748075,"Tetragastris",0.717302179444444,NA
"99","Tilia americana",33.8538119,5853.72,99.4874,15.98492502,NA,NA,26.20095915,-2.21,25.3,28.2,0.32,0.421638764705882,"Tilia",0.32,28.2
"100","Trichilia tuberculata",86.80177609,3472.95,142.3789,31.11623371,NA,NA,17.92800572,-2.72,24.04,25.05,0.6271887025,0.63411620897561,"Trichilia",0.6271887025,25.05
"101","Tsuga canadensis",133.0944921,13.3,2.5926,26.59024992,NA,NA,7.50064239,-3.13,11.98,29.81,0.38,0.432701818181818,"Tsuga",0.38,29.81
"102","Tsuga mertensiana",231.4814815,44.15,3.9083,38.1,NA,1.68829246515021,13.84938293,-3.73,12.5,51.54,0.42,0.432701818181818,"Tsuga",0.42,51.54
"103","Ulmus alata",47.07060278,987.97,4.0399,8.64006058,NA,NA,21.67916448,-5.66,18.63,25.39,0.6,0.533622772727273,"Ulmus",0.6,25.39
"104","Zanthoxylum ailanthoides",69.2716509466667,4904.30882352941,37.9123,15,NA,NA,20.18419685,-3.84,32.28,14.16,NA,0.61421999131884,"Zanthoxylum",0.61421999131884,14.16
"105","Nothofagus truncata",119.475506563846,229.16,54.2608,25.7428894295333,NA,NA,8.721857031,-3.3,22.79,17.9,0.6,0.6076419205,"Nothofagus",0.6,17.9
"106","Carya tomentosa",63.20165638,10180.4375,5208.8492375,25.796339803125,NA,NA,18.6134833616667,-3.05777777777778,18.6605555555556,26.7227777777778,0.64,0.607429538461538,"Carya",0.64,26.7227777777778
"107","Nothofagus nervosa",119.475506563846,229.16,54.2608,25.7428894295333,NA,NA,9.28062281610811,-3.30351351351351,21.8781081081081,19.2132432432432,0.516,0.6076419205,"Nothofagus",0.516,19.2132432432432
"108","Acer pensylvanicum",40.478836735,8865.63041666667,51.9369918032787,13.1927887329877,NA,NA,30.8835357229643,-2.59035714285714,22.7844285714286,14.8925357142857,0.44,0.537951777777778,"Acer",0.44,14.8925357142857
"109","Pinus sylvestris",221.830318736707,101.764852941176,58.169431097561,27.93404214,0.614874861761911,0.628303260495539,6.06432575510455,-3.65022727272727,12.7186818181818,32.0841818181818,0.3954128,0.443938265306122,"Pinus",0.3954128,32.0841818181818
"110","Larix gmelinii",92.385976669375,41.4083333333333,5.08828,35.950459913,NA,NA,14.6330965795,-3.7455,17.5455,39.774,0.559719,0.463240210526316,"Larix",0.559719,39.774
